mot_cle,moyenne,mediane,minimum,maximum,ecart_type,amplitude,moyenne_debut,moyenne_fin,variation_absolue,variation_relative,rang_popularite,rang_volatilite
serveur,75.29166666666667,73.0,65,100,7.417978730806953,35,80.5,69.125,-11.375,-0.14130434782608695,1.0,20.0
algorithme,70.20833333333333,75.0,29,100,18.240905509398836,71,73.25,49.875,-23.375,-0.3191126279863481,2.0,7.0
robot,66.05555555555556,63.0,47,100,12.437889509947377,53,66.0,72.875,6.875,0.10416666666666667,3.0,16.0
réalité virtuelle,63.125,61.0,38,100,14.249227802156385,62,67.625,52.0,-15.625,-0.23105360443622922,4.0,13.0
automatisation,59.611111111111114,59.0,32,100,16.76226106261153,68,37.875,83.25,45.375,1.198019801980198,5.0,11.0
big data,59.47222222222222,57.5,28,100,18.586662052659726,72,76.75,52.625,-24.125,-0.31433224755700323,6.0,6.0
blockchain,54.27777777777778,50.0,30,100,16.954971203552727,70,40.125,61.375,21.25,0.5295950155763239,7.0,10.0
bitcoin,43.90277777777778,41.5,17,100,18.797782100385774,83,26.0,45.625,19.625,0.7548076923076923,8.0,5.0
machine learning,38.52777777777778,36.5,20,100,12.062013732120581,80,33.0,51.5,18.5,0.5606060606060606,9.0,17.0
deep learning,37.84722222222222,35.5,22,100,11.508306519025172,78,35.25,49.25,14.0,0.3971631205673759,10.0,19.0
nvidia,34.59722222222222,28.5,20,100,14.950302387277937,80,24.75,54.75,30.0,1.2121212121212122,11.0,12.0
gpu,31.958333333333332,29.0,18,100,13.662364775821409,82,20.625,55.125,34.5,1.6727272727272726,12.0,14.0
cloud computing,31.916666666666668,30.0,17,100,12.69995009416833,83,26.5,49.75,23.25,0.8773584905660378,13.0,15.0
data science,29.694444444444443,27.0,20,100,11.927762489120502,80,26.125,43.625,17.5,0.6698564593301436,14.0,18.0
ia,26.416666666666668,13.5,3,100,28.43958261217857,97,4.5,76.0,71.5,15.88888888888889,15.0,1.0
intelligence artificielle,25.944444444444443,22.5,6,100,17.202922195992667,94,10.75,31.375,20.625,1.9186046511627908,16.0,8.0
cybersécurité,18.84722222222222,16.5,5,100,17.111613486721108,95,6.125,20.125,14.0,2.2857142857142856,17.0,9.0
chatgpt,17.88888888888889,7.5,0,100,24.6939323992675,100,0.0,73.0,73.0,,18.0,2.0
metaverse,15.86111111111111,5.0,0,100,23.471472379240556,100,0.0,3.5,3.5,,19.0,3.0
openai,15.277777777777779,14.0,0,100,19.2611571634174,100,0.0,43.75,43.75,,20.0,4.0
